;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;X_policy_premium;U;prob_acceptance;Z
3241;12768;64.0;45.0;8;1;0;3;0;23.0;23.0;168.7418;1.0427173350053156;0.9614235162734985;1
3278;12917;51.0;51.3;5;7;0;2;0;30.0;24.0;184.5485;1.0871938812832398;0.893764354288578;1
3289;12964;79.0;45.0;2;6;0;1;0;22.0;23.0;183.5413;1.1119023347878652;0.870153471827507;1
3304;13004;74.0;45.0;5;1;0;2;2;8.0;23.0;238.8098;1.0710615728500255;0.9659937620162964;1
3313;13059;63.0;45.0;4;5;0;3;0;29.0;23.0;180.6492;1.096987974483142;0.8957338929176331;1
3320;13098;59.0;47.5;7;1;0;1;0;17.0;23.0;226.8725;1.0974445999404951;0.8452141135931015;1
3328;13106;67.0;45.0;4;1;0;4;0;27.0;24.0;221.1781;1.0874042231125052;0.9163741320371628;1
3336;13141;72.0;45.0;4;1;0;2;0;22.0;23.0;163.9051;1.0660437045583084;0.951634407043457;1
3407;13412;77.0;45.0;5;1;0;6;0;27.0;23.0;186.5929;1.0968798920001779;0.9389810636639595;1
3469;13686;67.0;45.0;5;2;0;2;0;14.0;23.0;231.081;1.041106798049169;0.9579001888632774;1
3485;13744;52.0;45.0;5;6;0;1;0;20.0;23.0;182.7534;1.0615397579470478;0.9266011342406273;1
3512;13874;59.0;45.0;5;1;0;4;0;19.0;23.0;168.6122;1.1167637928928038;0.9314282834529877;1
3517;13882;60.0;48.8703;5;1;0;1;0;28.0;23.0;230.8117;1.0348262241472161;0.9408572167158127;1
3605;14326;64.0;45.0;4;1;0;1;0;14.0;23.0;168.8415;1.0283609183761102;0.9749942384660244;1
3647;14476;57.0;45.0;6;0;0;3;0;9.0;23.0;180.1406;1.1073017409734396;0.9092880934476852;1
3707;14660;51.0;45.0;5;1;0;1;0;19.0;23.0;155.1291;1.0522203764477458;0.9626807533204556;1
3741;14763;86.0;45.0;5;0;0;1;0;24.0;23.0;163.8851;1.0691637006658934;0.9164609983563423;1
3775;14887;89.0;45.0;5;7;0;2;0;23.0;23.0;158.7891;1.1367278988293277;0.90132737159729;1
3796;14957;76.0;45.0;0;7;0;3;0;23.0;23.0;200.0061;1.1269656275483597;0.8915469795465469;1
3814;15032;57.0;45.0;2;7;0;5;0;28.0;23.0;181.6963;1.0972155184227748;0.908166691660881;1
3854;15149;69.0;45.0;0;2;0;2;0;23.0;23.0;267.6608;1.0973590454784565;0.8607152700424194;1
3864;15207;54.0;45.0;5;1;0;3;0;6.0;23.0;151.3495;1.1267959259858802;0.9630995616316795;1
3906;15362;53.0;45.0;2;1;0;1;0;23.0;23.0;163.8053;1.0331167550744695;0.9624454602599144;1
3929;15454;84.0;45.0;5;1;0;3;0;21.0;23.0;164.3738;1.1269435883334207;0.9439301900565624;1
3937;15462;73.0;45.0;5;1;1;3;0;9.0;23.0;220.5;1.0428571428571427;0.9784325994551182;1
3945;15470;59.0;45.0;2;1;0;3;0;8.0;23.0;243.6366;1.0925698355665774;0.9325868934392929;1
3956;15489;76.0;45.0;8;2;1;6;0;23.0;23.0;226.9224;1.1119660289156117;0.8734627217054367;1
3966;15503;88.0;45.0;4;7;1;7;0;29.0;23.0;213.8682;1.047467552445852;0.943586889654398;1
3974;15511;67.0;45.0;5;7;0;1;0;19.0;23.0;153.6332;1.1169460767594506;0.9352571219205856;1
3980;15575;71.0;45.0;2;1;0;1;2;23.0;23.0;177.059;1.0791318148187892;0.925506167113781;1
4027;15805;55.0;45.0;5;1;0;2;0;17.0;23.0;154.1617;1.111884469359121;0.9357823058962822;1
4107;16172;89.0;45.0;7;1;0;1;0;16.0;23.0;187.6201;1.0425855225532872;0.9280910789966583;0
4120;16191;62.0;45.0;5;1;0;4;0;23.0;23.0;147.5199;1.1017496622489575;0.9370583221316338;1
4130;16223;74.0;47.5;7;1;0;2;0;14.0;23.0;195.2093;1.1070681571011218;0.9149025678634644;0
4138;16231;79.0;45.0;4;2;0;3;0;23.0;23.0;201.4522;1.1120255822473024;0.9283451363444328;1
4143;16247;82.0;45.0;5;0;0;1;0;24.0;23.0;167.1661;1.0427353392823067;0.9727768320590258;1
4151;16322;59.0;45.0;5;1;0;1;0;25.0;23.0;162.5887;1.0430614181674374;0.9710366036742926;1
4168;16440;65.0;45.0;5;5;0;2;0;18.0;23.0;162.7482;1.0721470344986919;0.9503293707966805;1
4195;16558;62.0;45.0;5;1;0;2;0;6.0;23.0;195.0896;1.0724815674438821;0.9513169713318348;1
4230;16645;64.0;45.0;5;0;0;4;0;24.0;23.0;144.9869;1.0330588487649575;0.976892713457346;1
4362;17083;64.0;45.0;4;7;0;3;0;23.0;23.0;206.0496;1.0569785139112136;0.9628956504166126;1
4442;17365;46.0;45.0;5;2;1;6;0;23.0;23.0;174.2268;1.1119988428875467;0.9078163355588913;1
4534;17613;54.0;45.0;2;2;0;1;0;21.0;24.0;187.3508;1.0969261940701613;0.8228711038827896;1
4542;17629;73.0;45.0;5;1;0;1;0;30.0;23.0;144.4783;1.0425094979661307;0.970692340284586;1
4584;17780;52.0;45.0;5;1;0;4;0;26.0;23.0;160.8734;1.1073925210755786;0.9142296239733696;1
4586;17804;84.0;45.125;4;1;0;1;0;29.0;23.0;166.4281;1.0970503178249347;0.8549246490001678;1
4610;17856;52.0;45.0;5;1;0;1;0;14.0;23.0;184.3391;1.1070901398563844;0.9156080558896065;1
4621;17882;84.0;45.0;2;1;0;1;0;25.0;23.0;179.1134;1.0472694951913146;0.91625015437603;1
4632;17928;66.0;45.0;5;1;0;7;0;16.0;23.0;163.4064;1.121987878075767;0.9491373859345913;1
4638;17936;63.0;45.0;7;0;0;5;0;7.0;23.0;195.0796;1.0332705213666626;0.9571386240422726;1
4673;18026;59.0;45.0;5;2;0;3;0;19.0;23.0;189.8939;1.1220476276489133;0.9130476713180542;1
4687;18052;63.0;45.0;8;1;0;2;0;23.0;23.0;172.7608;1.0969502340808794;0.8720191717147827;0
4695;18079;59.0;45.0;4;2;0;6;0;16.0;23.0;180.2702;1.1120529072470104;0.9475965388119221;1
4710;18133;51.0;45.0;7;1;0;4;0;23.0;23.0;164.9123;1.0568647699413567;0.9429174400866032;1
4721;18172;81.0;45.125;7;1;0;1;0;20.0;23.0;197.6127;1.0427467465400757;0.955447617918253;1
4766;18395;73.0;45.0;5;5;0;6;0;23.0;23.0;223.9007;1.0872677039419707;0.9471063427627087;1
4811;18671;72.0;45.0;2;6;0;1;0;23.0;23.0;167.9739;1.0870736465605668;0.8845069482922554;1
4836;18745;68.0;45.0;5;0;0;2;0;14.0;23.0;172.0029;1.087190971780127;0.9597312025725842;1
4853;18771;55.0;45.0;7;1;0;1;0;17.0;23.0;150.5915;1.0660628255910858;0.9347701221704483;1
4880;18878;74.0;45.0;5;1;0;4;0;5.0;23.0;149.4347;1.0427966195267901;0.9884514836594462;1
4923;19032;51.0;45.0;5;3;0;4;0;25.0;23.0;215.9824;1.1071272474053442;0.9103771522641182;1
4935;19109;72.0;45.0;2;1;1;2;0;20.0;23.0;189.7243;1.087314592806509;0.9152081459760666;1
4969;19220;75.0;45.0;3;1;0;4;0;25.0;23.0;171.6762;1.0802312725934056;0.937951497733593;1
5032;19375;76.0;51.3;5;1;1;3;0;23.0;23.0;176.4008;1.0870132108244406;0.9215888828039169;1
5051;19403;72.0;45.0;5;1;0;2;0;23.0;23.0;170.3275;1.1119754590421396;0.9317814186215401;1
5059;19417;63.0;45.0;5;1;0;3;0;25.0;23.0;180.4796;1.0569061544905907;0.9611751884222031;1
5060;19441;41.0;47.5;2;2;0;4;0;19.0;23.0;171.6239;1.1021192269841207;0.8846051394939423;1
5068;19465;90.0;45.0;8;1;0;3;5;18.0;23.0;269.5257;1.112361455697917;0.8757642731070518;1
5135;19706;43.0;45.0;4;1;0;2;0;27.0;23.0;172.0428;1.0428219024568306;0.954846691340208;1
5142;19745;81.0;45.125;4;1;0;1;0;11.0;23.0;222.704;1.0426395574394711;0.9693917352706194;0
5158;19764;73.0;45.0;8;1;0;2;0;23.0;23.0;196.9545;1.0772031103630535;0.9047509282827377;1
5248;20119;48.0;45.0;5;2;0;1;0;16.0;23.0;231.7791;1.0973810839717644;0.9181880205869675;1
5273;20217;87.0;45.0;5;7;0;4;0;31.0;23.0;229.0566;1.1071062785355235;0.9284707829356194;1
5293;20302;70.0;45.0;5;1;0;1;0;22.0;23.0;144.4384;1.1369552695128164;0.8602996170520782;1
5301;20318;61.0;45.0;8;2;0;1;0;13.0;23.0;203.3071;1.0972071314774545;0.8876761645078659;1
5313;20394;80.0;45.0;8;1;0;3;0;14.0;23.0;222.3549;1.0427474276483226;0.9660484418272972;1
5599;21032;66.0;45.0;5;0;1;4;0;23.0;23.0;153.7728;1.0932362550464063;0.9361656531691551;1
5607;21040;57.0;45.0;5;2;0;2;3;13.0;23.0;254.3872;1.087515409580356;0.9447419717907906;1
5612;21140;63.0;54.0;4;1;0;3;0;18.0;22.0;167.2758;1.1070937936031393;0.908139742910862;1
5637;21254;88.0;45.0;5;2;0;2;0;20.0;20.0;202.5292;1.0873493797437603;0.9280714392662048;1
5722;21671;70.0;45.0;5;0;0;9;0;25.0;22.0;139.2725;1.1018686388195804;0.9553161077201366;1
5746;21702;51.0;45.0;5;3;0;9;0;15.0;21.0;279.03;1.114324624592338;0.9529613479971886;1
5779;21862;67.0;45.0;7;2;0;1;0;14.0;23.0;270.7723;1.1172856307679921;0.8722971975803375;1
5833;22037;76.0;45.0;2;1;0;1;2;19.0;23.0;213.0504;1.0873952829940707;0.9266181588172913;1
5843;22075;78.0;45.0;5;2;0;2;0;29.0;23.0;224.1699;1.0247138442761494;0.9669671505689621;1
5851;22139;59.0;45.0;7;7;0;2;0;28.0;23.0;229.5352;1.0984371895900933;0.814263641834259;1
5941;22598;55.0;45.0;5;1;0;4;0;28.0;23.0;165.6104;1.1068145478786358;0.9246677979826927;1
5958;22657;61.0;45.0;7;7;0;3;0;26.0;23.0;222.2751;1.0873462659560158;0.9027224034070969;1
5966;22675;46.0;45.0;8;7;0;5;0;21.0;23.0;225.0276;1.1122635623363533;0.8899501338601112;0
6026;22801;55.0;45.0;7;1;2;4;0;25.0;23.0;186.553;1.087090531913183;0.8714292049407959;1
6030;22817;51.0;45.0;5;1;0;1;0;15.0;23.0;157.6721;1.051612809114612;0.9621942341327667;1
6134;23209;65.0;45.0;5;1;0;3;2;23.0;23.0;215.7331;1.0802236652604538;0.9354315400123596;1
6188;23420;52.0;47.5;2;5;0;6;0;8.0;23.0;251.2757;1.0972807955564348;0.898958183825016;1
