;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
3286016;5487271;50.0;45.0;4;2;0;2;0;22.0;0.0;204.0351;1.097115153226087;169.41766357421875
3286017;5487273;81.0;50.0;8;1;0;2;0;5.0;0.0;126.4975;1.106425028162612;178.49867248535156
3286023;5487283;57.0;47.5;5;1;0;2;0;31.0;0.0;128.6317;1.0309278350515465;127.66796112060547
3286024;5487284;50.0;120.0;4;1;0;1;0;12.0;0.0;320.147;1.043020862291385;241.1803741455078
3286027;5487289;35.0;45.0;11;2;0;2;0;5.0;0.0;132.89;1.0964707652946046;198.28111267089844
3286029;5487292;55.0;50.0;2;2;0;3;0;15.0;0.0;194.1622;1.0835270716957264;178.2113494873047
3286031;5487297;50.0;65.0;8;2;0;3;0;19.0;0.0;272.4876;1.0975178320040986;210.9771728515625
3286034;5487306;59.0;47.5;8;1;0;1;2;13.0;0.0;168.8652;1.060846166054344;188.5367889404297
3286037;5487311;46.0;45.0;5;2;0;1;0;7.0;0.0;199.6372;1.0427415331411178;189.88134765625
3286038;5487312;66.0;50.0;3;2;0;5;0;16.0;0.0;189.4451;1.0872806950404101;175.45326232910156
3286040;5487314;48.0;45.0;2;1;0;4;3;6.0;0.0;321.6429;1.131254568342718;187.59130859375
3286041;5487315;31.0;57.5;5;1;0;1;0;14.0;0.0;172.7113;1.0965698249043345;169.10824584960938
3286044;5487326;75.0;45.0;8;1;1;2;0;23.0;0.0;168.4962;1.0627539374775217;154.01319885253906
3286048;5487333;32.0;70.0;8;1;0;1;0;5.0;0.0;223.8708;1.0971953466017006;192.36256408691406
3286052;5487340;76.0;52.5;5;1;0;2;0;20.0;0.0;169.2404;1.0333230127085495;158.45156860351562
3286056;5487346;35.0;57.5;2;2;1;2;0;19.0;0.0;207.3361;1.0871237570302519;191.0240478515625
3286061;5487356;39.0;100.0;8;2;0;1;1;17.0;0.0;370.14;1.0874533960123196;330.20465087890625
3286062;5487357;36.0;50.0;7;2;0;5;0;29.0;0.0;144.6235;1.1348086583439068;154.8361053466797
3286064;5487360;48.0;47.5;0;2;1;2;3;8.0;0.0;161.5786;1.0873964745331375;206.15756225585938
3286067;5487364;57.0;57.5;3;1;0;3;3;12.0;0.0;179.0635;1.0846990034261588;192.21795654296875
3286069;5487366;59.0;45.0;10;5;0;2;0;11.0;0.0;177.1089;1.0870712877783104;165.81092834472656
3286071;5487369;40.0;45.0;2;1;0;2;0;7.0;0.0;193.2846;1.1170057004024116;164.3599853515625
3286072;5487370;42.0;45.0;6;1;0;1;0;24.0;0.0;133.4784;1.1118652905638666;148.0051727294922
3286075;5487373;57.0;45.0;0;2;0;5;0;25.0;0.0;163.829;1.0595193769112916;157.9335479736328
3286077;5487378;26.0;47.5;2;2;0;2;0;11.0;0.0;232.906;1.123886889989953;208.55181884765625
3286080;5487384;33.0;100.0;2;1;1;1;0;19.0;0.0;304.4101;1.110902693438884;244.7317352294922
3286082;5487386;32.0;45.0;8;1;0;1;0;23.0;0.0;155.3921;1.0141442196868438;150.78245544433594
3286087;5487395;68.0;67.5;4;6;0;4;0;27.0;0.0;207.7586;1.0660930522250343;198.12889099121094
3286091;5487399;62.0;70.0;5;1;0;2;0;16.0;0.0;151.3195;1.1068632925696953;179.91537475585938
3286093;5487403;45.0;47.5;5;2;0;3;0;16.0;0.0;156.8245;1.0521315228169068;170.49456787109375
3286095;5487405;73.0;47.5;9;1;0;1;0;30.0;0.0;111.5984;1.1311990136059298;135.21084594726562
3286096;5487406;77.0;45.0;9;1;2;1;0;13.0;0.0;306.0595;1.0912583991021354;172.25045776367188
3286097;5487407;60.0;47.5;7;5;0;1;1;22.0;0.0;226.1083;1.0785981761837136;205.8556365966797
3286098;5487409;46.0;62.5;7;1;0;4;0;29.0;0.0;148.248;1.131212562732718;151.3008270263672
3286101;5487417;52.0;60.0;8;1;0;2;0;19.0;0.0;256.9701;1.097365024179856;173.63400268554688
3286103;5487419;56.0;62.5;9;1;0;1;0;26.0;0.0;186.826;1.0548852943380473;161.9968719482422
3286108;5487428;54.0;47.5;5;2;0;2;0;9.0;0.0;181.4071;1.0968148435204574;189.14524841308594
3286110;5487431;37.0;57.5;3;1;0;1;0;20.0;0.0;161.372;1.0384081501127826;157.75381469726562
3286112;5487433;75.0;60.0;3;1;0;3;0;13.0;0.0;355.3842;1.0451787108149433;177.45530700683594
3286130;5487466;25.0;77.5;8;1;0;1;0;15.0;0.0;211.5745;1.069883185355513;258.9083557128906
3286135;5487474;66.0;62.5;6;2;0;1;2;31.0;0.0;178.4851;1.097234447021068;210.5858154296875
3286136;5487476;37.0;70.0;5;6;0;2;0;22.0;0.0;202.619;1.1072999077085566;215.4139404296875
3286137;5487477;70.0;130.0;8;4;0;1;0;29.0;0.0;281.8818;1.002796207488387;254.7804412841797
3286139;5487481;65.0;50.0;5;6;0;4;0;21.0;0.0;188.9664;1.0972321005215742;173.6417999267578
3286146;5487490;36.0;47.5;1;1;0;1;0;13.0;0.0;119.5167;1.1066235931882322;156.1477508544922
3286151;5487497;60.0;45.0;5;0;0;5;0;13.0;0.0;131.6634;1.0154682318700565;135.47544860839844
3286153;5487499;76.0;45.0;5;1;0;1;0;27.0;0.0;136.191;1.0967685089323083;144.08963012695312
3286154;5487500;41.0;65.0;2;2;1;1;5;23.0;0.0;285.9407;1.097465313612228;251.0343017578125
3286155;5487504;33.0;120.0;10;0;0;1;4;6.0;0.0;332.204;1.0428832885817148;258.740234375
3286157;5487508;65.0;50.0;9;2;0;2;0;17.0;0.0;212.7113;1.103655518066036;172.58973693847656
3286158;5487510;60.0;45.0;5;1;0;5;0;10.0;0.0;177.418;1.0795409710401425;162.33299255371094
3286166;5487524;47.0;45.0;8;1;0;1;2;14.0;0.0;165.5605;1.076826900136204;181.01205444335938
3286167;5487527;45.0;50.0;11;2;1;1;0;22.0;0.0;177.2027;1.086721590585245;178.32151794433594
3286168;5487532;35.0;120.0;8;2;0;1;0;30.0;0.0;222.7439;1.09726910591042;233.62332153320312
3286170;5487535;51.0;47.5;2;4;0;1;0;16.0;0.0;247.6556;1.0972091888897324;203.59483337402344
3286171;5487536;63.0;100.0;2;1;0;1;0;10.0;0.0;190.8712;1.0973892342061036;240.18923950195312
3286172;5487539;32.0;75.0;7;1;0;1;0;9.0;0.0;321.8523;1.1123425248165073;213.33738708496094
3286175;5487545;30.0;57.5;7;3;0;1;0;12.0;0.0;224.9179;1.107115085104387;224.93846130371094
3286178;5487551;59.0;60.0;6;1;0;1;0;19.0;0.0;175.5631;1.1366283689454106;177.2075653076172
3286181;5487554;33.0;45.0;8;0;1;2;0;22.0;0.0;139.482;1.086950287492293;142.81488037109375
3286182;5487555;45.0;55.0;7;2;0;4;0;29.0;0.0;124.9318;1.096518260362854;165.18272399902344
3286184;5487559;34.0;47.5;9;1;1;1;1;16.0;0.0;174.0473;1.0875779170374948;176.1796112060547
3286185;5487560;40.0;45.0;4;2;0;2;0;25.0;0.0;178.7145;1.125594173947833;166.27084350585938
3286193;5487574;53.0;50.0;11;1;0;1;3;5.0;0.0;177.049;1.116922433902479;196.87709045410156
3286196;5487583;84.0;47.5;8;2;0;3;0;31.0;0.0;199.3716;1.0664507883770808;169.13455200195312
3286201;5487590;61.0;45.0;4;1;0;8;0;13.0;0.0;165.002;1.0855625992412212;148.75184631347656
3286202;5487594;62.0;45.0;5;7;0;3;0;17.0;0.0;221.0385;1.0972749091221665;187.07740783691406
3286203;5487595;63.0;47.5;6;2;0;2;3;10.0;0.0;316.2477;1.1175101036307933;212.01016235351562
3286208;5487602;40.0;67.5;2;2;0;2;0;13.0;0.0;181.7561;1.121888068681051;218.5946502685547
3286209;5487603;57.0;45.0;3;1;0;3;0;28.0;0.0;155.149;1.0424817433563864;137.41015625
3286213;5487608;49.0;47.5;1;0;0;1;0;23.0;0.0;133.7876;1.0867972816613798;134.7605438232422
3286218;5487616;60.0;47.5;8;1;0;3;0;24.0;0.0;149.5643;1.0971869623967752;145.36622619628906
3286220;5487618;33.0;62.5;3;1;0;1;3;10.0;0.0;265.6363;1.1123479735262087;208.9537811279297
3286222;5487624;32.0;100.0;5;2;0;1;0;23.0;0.0;273.415;1.0614999177075142;270.11749267578125
3286228;5487631;60.0;60.0;7;6;0;2;5;13.0;0.0;276.9952;1.0974919420986355;262.9745178222656
3286229;5487632;50.0;100.0;2;2;0;1;0;10.0;0.0;294.6269;1.0975915641104055;285.50140380859375
3286238;5487648;74.0;47.5;7;2;0;3;0;20.0;0.0;227.7501;1.09725528111733;177.5322723388672
3286239;5487650;58.0;55.0;7;1;1;1;5;14.0;0.0;195.3589;1.0971089620181114;195.97079467773438
3286240;5487651;39.0;45.0;7;2;0;1;0;16.0;0.0;114.2511;1.0844534538398318;179.2117156982422
3286246;5487660;35.0;70.0;8;1;0;1;0;14.0;0.0;143.112;1.1096903124825312;187.87527465820312
3286248;5487662;53.0;60.0;8;3;0;1;0;13.0;0.0;193.7832;1.0971539328486681;226.18405151367188
3286250;5487665;44.0;47.5;6;1;0;5;3;19.0;0.0;157.5824;1.0968229954614221;167.0260772705078
3286251;5487667;74.0;45.0;2;1;1;1;0;5.0;0.0;291.3658;1.0846502918324663;174.8881072998047
3286254;5487675;34.0;100.0;5;1;1;1;4;18.0;0.0;279.5383;1.0972736115230006;291.802978515625
3286257;5487680;81.0;60.0;8;3;1;2;0;11.0;0.0;229.4156;1.0871972089081996;244.53530883789062
3286264;5487693;26.0;50.0;6;6;0;1;0;24.0;0.0;244.4145;1.0972753253182606;203.1077423095703
3286268;5487702;48.0;47.5;8;2;0;1;0;22.0;0.0;181.0182;1.0297307121604347;176.4810791015625
3286272;5487709;46.0;47.5;8;1;0;4;0;14.0;0.0;201.7813;1.0873158216346115;156.3409881591797
3286276;5487722;67.0;45.0;10;1;0;2;0;19.0;0.0;141.5264;1.1216988491193163;141.4940948486328
3286281;5487728;26.0;100.0;5;2;0;2;0;22.0;0.0;416.315;1.0817049589853835;311.0820617675781
3286284;5487732;66.0;45.0;10;2;0;3;0;16.0;0.0;140.6488;1.1018224115669668;165.74867248535156
