;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
2096750;3606543;80.0;61.0879;7;1;0;1;0;13.0;4.0;253.1705;0.08752797028089758;212.59424836941537
2096764;3606577;52.0;45.0;6;1;0;1;5;11.0;4.0;214.0078;0.08720336361571861;238.1760636619553
2096771;3606588;49.0;61.731;4;1;0;2;0;8.0;4.0;232.4074;0.08748688725057814;230.41773334684595
2096795;3606634;71.0;46.834;2;0;1;1;0;22.0;4.0;158.5597;0.10696475838438152;166.25373074131318
2096881;3606787;80.0;45.0;6;2;0;1;0;27.0;4.0;206.9671;0.0037344099617766364;157.90178766047237
2096888;3606794;71.0;61.0879;8;2;0;2;0;22.0;4.0;249.1615;0.09732041266407546;200.08125784527192
2096911;3606832;42.0;46.834;5;2;1;1;0;18.0;4.0;182.4642;0.042779898741780606;194.50925195258841
2096920;3606847;63.0;52.9428;9;0;0;1;0;7.0;4.0;368.8436;0.06185928127802691;210.66093708844673
2096932;3606875;79.0;46.834;6;7;0;2;0;25.0;4.0;210.7866;0.0430454307816532;194.4307152416792
2096944;3606887;71.0;50.9065;5;7;0;1;0;24.0;4.0;183.0626;0.12710078410336142;205.69442991920613
2096950;3606893;29.0;63.1241;3;5;0;1;0;12.0;4.0;245.2223;0.07734900129392804;251.89424628328987
2096987;3606964;68.0;45.0;8;1;0;3;0;7.0;4.0;169.8887;0.042800374598192796;200.28812108361757
2097010;3606994;66.0;45.0;11;6;2;1;0;17.0;4.0;221.7366;0.09729291420541306;217.7840402329256
2097017;3607001;56.0;52.9428;2;2;1;1;4;24.0;4.0;284.1656;0.0873589202915484;222.21493323932336
2097022;3607020;56.0;45.0;8;5;0;1;5;20.0;4.0;213.0903;0.0704851417450724;240.65380674897887
2097034;3607032;30.0;48.8703;3;1;0;1;3;5.0;4.0;284.9434;0.11727451837803583;245.26119516525247
2097040;3607038;58.0;45.0;5;1;0;1;0;14.0;4.0;148.7665;0.05198414965734888;186.36581594273815
2097050;3607062;80.0;63.1241;8;1;0;1;0;22.0;4.0;253.3799;0.08730013706691024;196.2191615039931
2097053;3607067;55.0;50.9065;5;2;0;1;4;18.0;4.0;258.1369;0.09755714893918678;228.36786248841616
2097058;3607075;52.0;45.0;8;1;0;1;0;14.0;4.0;195.8675;0.08716351615250101;188.62825776211295
2097068;3607096;40.0;57.0153;5;2;0;1;0;7.0;4.0;189.2556;0.10691572666806173;233.50853714813422
2097101;3607156;40.0;52.9428;3;1;0;3;0;10.0;4.0;259.6727;0.1075095687763864;212.28203600216835
2097110;3607165;59.0;45.0;2;1;0;1;0;4.0;4.0;175.4335;0.1167764423556503;208.1693376628682
2097125;3607185;56.0;45.0;8;1;0;1;0;19.0;4.0;162.0402;0.042457365517939306;176.40677512779007
2097135;3607202;53.0;45.0;8;5;0;1;0;14.0;4.0;133.3388;0.1116044242186071;211.78306057087195
2097151;3607228;58.0;45.0;1;0;0;1;0;5.0;4.0;162.6684;0.10685295976354363;199.558803463078
2097161;3607248;78.0;45.0;7;2;1;1;0;19.0;4.0;235.9876;0.07043759926369024;181.48572370687646
2097171;3607258;41.0;45.0;8;1;0;1;0;11.0;4.0;220.121;0.11693114241712514;198.21741851205323
2097226;3607338;40.0;45.0;8;1;0;1;0;10.0;4.0;365.3332;0.13236355195750077;200.72287677052205
2097258;3607371;74.0;54.979;11;2;0;1;0;11.0;4.0;228.548;0.0974499886238339;214.67650740010754
2097270;3607383;52.0;52.9428;2;1;0;2;0;19.0;4.0;167.1861;0.10714945799919959;188.79097735539483
2097275;3607388;49.0;45.0;2;5;0;1;3;21.0;4.0;180.8758;0.09528195590565469;220.4231047595187
2097300;3607427;57.0;45.0;2;1;0;2;0;25.0;4.0;155.7175;0.08728948255655274;160.14017967578118
2097305;3607432;76.0;48.8703;5;1;0;2;0;23.0;4.0;227.3014;0.09726556897581799;168.1556588463537
2097310;3607437;69.0;45.0;9;3;0;2;2;16.0;4.0;303.7519;0.0862154277882707;209.19796942395266
2097315;3607442;44.0;45.0;7;1;0;1;1;16.0;4.0;179.7516;0.053231236884678616;194.52799367533638
2097359;3607513;85.0;57.0153;5;1;0;1;0;27.0;4.0;192.3671;0.03328479766030686;172.10040147639896
2097364;3607518;50.0;45.0;4;2;1;12;0;15.0;4.0;254.6553;0.06720731907013115;191.91372305826962
2097369;3607525;41.0;45.0;7;5;0;1;0;19.0;4.0;174.0373;0.09712113437751568;202.7203494995509
2097380;3607560;62.0;45.0;3;3;0;5;3;8.0;4.0;385.4182;0.11764312116033954;234.71020888602465
2097385;3607565;63.0;45.0;2;1;0;2;0;27.0;4.0;170.3673;0.08718046244789933;154.42430883292036
2097390;3607571;31.0;45.0;3;6;1;9;0;5.0;4.0;165.0619;0.09698240478269052;243.06342095393143
2097434;3607638;34.0;57.0153;8;2;0;2;0;11.0;4.0;252.7417;0.033307918717014315;226.3488216100746
2097463;3607671;74.0;45.0;7;2;0;1;0;21.0;4.0;180.4697;0.024493308294965845;173.2309583780356
2097474;3607688;65.0;45.0;1;7;0;2;0;30.0;4.0;262.2755;0.09724316606011597;181.7480058147811
2097485;3607706;74.0;45.0;4;2;0;6;0;22.0;4.0;213.0704;0.08738707957557686;168.15916863792222
2097496;3607717;50.0;48.8703;6;1;0;2;0;11.0;4.0;183.7607;0.09707897281627671;201.79885372561375
2097501;3607727;52.0;45.0;7;2;0;2;0;9.0;4.0;216.3613;0.033225442812554795;205.50275302575335
2097562;3607822;51.0;45.0;8;1;0;1;5;19.0;4.0;185.7053;0.042727375039915354;220.49684557939537
2097569;3607840;54.0;54.979;2;0;0;2;0;11.0;4.0;186.9918;0.09694649711912497;204.50663293435537
2097576;3607854;52.0;45.0;2;1;1;1;0;18.0;4.0;167.3855;0.051942969970517186;182.04874497965258
2097600;3607885;39.0;45.0;5;6;0;5;0;7.0;4.0;196.6852;0.042783086881981895;233.99416645756838
2097615;3607900;60.0;46.834;5;1;0;2;1;24.0;4.0;167.8842;0.03321217839439337;174.6333242878068
2097620;3607908;81.0;46.834;8;1;0;2;0;23.0;4.0;162.1698;0.08688547436082415;164.62529181936293
2097638;3607928;73.0;48.8703;10;3;1;4;4;21.0;4.0;278.3016;0.06751093058753513;224.9809825585494
2097669;3607974;50.0;45.0;7;2;0;2;0;8.0;4.0;262.1359;0.09244861157895586;208.00398372229915
2097682;3608003;49.0;45.0;7;7;0;3;0;29.0;4.0;239.4481;0.0975238475477567;188.9208915957711
2097694;3608028;59.0;45.0;5;2;0;3;0;16.0;4.0;161.5714;0.10712663255997029;186.64704174759245
2097711;3608046;67.0;45.0;11;1;0;1;0;25.0;4.0;131.9426;0.05652003219581854;161.34764144082726
2097729;3608083;61.0;45.0;8;0;0;1;0;7.0;4.0;374.2288;0.08259973577661583;196.83672772888087
2097776;3608170;70.0;45.0;6;7;0;1;0;20.0;4.0;255.2448;0.09733871169951347;205.16156504483857
2097781;3608177;70.0;45.0;8;1;0;1;0;22.0;4.0;142.6832;0.10692779528353723;166.58484713451918
2097797;3608211;57.0;45.0;7;0;0;2;0;6.0;4.0;122.0896;0.06577464419573821;199.72487431773402
2097815;3608238;34.0;63.1241;8;1;1;3;0;19.0;4.0;215.2045;0.033203301975562774;217.08646694292418
2097827;3608256;60.0;45.0;8;6;1;2;0;18.0;4.0;218.665;0.08723389659982173;211.03992341238398
2097857;3608297;53.0;45.0;3;1;0;4;0;26.0;4.0;144.1392;0.08686602950481208;158.3780340160617
2097895;3608340;39.0;45.0;7;2;0;1;0;16.0;4.0;202.6788;0.09735206642233919;192.6561230113486
2097925;3608383;52.0;48.8703;4;2;0;2;3;12.0;4.0;319.419;0.11756032045682957;229.7403973060849
2097942;3608423;50.0;57.0153;10;1;0;1;0;22.0;4.0;177.8514;0.09703943854251358;192.70135985968636
2097949;3608431;53.0;45.0;2;5;1;1;0;20.0;4.0;168.3329;0.044121499718712126;200.87221977993366
2097954;3608436;56.0;45.0;10;2;0;3;0;19.0;4.0;166.0392;0.12642074883521487;182.10539227387488
2097968;3608456;31.0;45.0;2;1;0;2;0;31.0;4.0;157.6921;0.07728922374678239;152.3200513039901
2097993;3608488;31.0;67.6875;2;1;0;1;0;9.0;4.0;293.3704;0.08746485671356058;242.5813111793422
2098004;3608501;74.0;45.0;4;1;0;2;0;14.0;4.0;209.3805;0.11715274345032123;181.85928838911477
2098016;3608529;71.0;45.0;8;1;0;1;2;21.0;4.0;204.3243;0.09707949568406696;185.6408466875945
2098059;3608610;49.0;46.834;2;0;0;2;0;18.0;4.0;139.8011;0.03311061214825932;175.25031291379955
2098064;3608615;41.0;45.0;6;5;0;2;0;11.0;4.0;196.9944;0.09718854952221978;220.1112512203031
2098069;3608626;55.0;45.0;3;1;1;3;0;18.0;4.0;152.0376;0.09696548748467487;180.95458268496643
2098082;3608646;51.0;45.0;8;1;0;1;2;24.0;4.0;223.4619;0.107213354938806;183.36352014405927
2098107;3608694;57.0;45.0;7;1;0;1;0;19.0;4.0;183.8105;0.09699935531430466;176.0803323516613
2098137;3608735;37.0;48.8703;8;2;0;1;0;12.0;4.0;311.7001;0.11754856671524953;209.09211432447674
2098142;3608740;56.0;45.0;5;2;0;1;0;22.0;4.0;165.022;0.09712644374689448;174.39495874179136
2098157;3608776;54.0;45.0;7;2;0;1;0;17.0;4.0;194.0525;0.09717731026397489;186.91717450398315
2098162;3608787;30.0;57.0153;5;0;0;1;0;15.0;4.0;171.7336;0.006384306856666471;205.76216382631736
2098222;3608894;63.0;45.0;9;1;0;1;0;22.0;4.0;162.8779;0.006459439862620993;168.4791204919007
2098258;3608970;57.0;48.8703;8;2;0;2;5;12.0;4.0;296.9406;0.08250606350226267;247.58635495901078
2098277;3608996;46.0;64.3031;4;2;0;1;0;25.0;4.0;242.5097;0.0522053344670336;203.42221886076354
2098287;3609015;68.0;45.0;7;5;0;3;0;12.0;4.0;131.5637;0.1117048243550461;212.0163097643259
2098306;3609035;30.0;45.0;2;1;0;1;0;18.0;4.0;161.7011;0.08712927741369722;182.4927742450686
2098364;3609122;35.0;65.1605;11;1;0;1;0;22.0;4.0;277.8628;0.006431951308343486;210.7843031651397
2098369;3609132;61.0;45.0;5;2;1;2;0;19.0;4.0;190.3825;0.09726471708271513;184.24252112271395
2098394;3609193;63.0;45.0;5;0;0;1;0;12.0;4.0;151.9578;0.09662024588405463;183.8265115678204
2098399;3609203;68.0;45.0;7;7;0;2;0;22.0;4.0;275.7786;0.09758335128251437;201.15437853496223
2098427;3609248;63.0;45.0;5;1;0;1;0;19.0;4.0;202.2999;0.09718294472711059;173.78867516747243
2098454;3609275;49.0;45.0;8;1;0;1;0;24.0;4.0;169.4299;0.03340673635527141;166.81732409696986
2098464;3609300;64.0;45.0;7;6;0;1;0;9.0;4.0;169.7092;0.11213770378977686;226.3871791311235
2098485;3609343;48.0;45.0;8;6;0;2;5;21.0;4.0;217.5281;0.08726182962109262;245.3070639416461
2098494;3609353;35.0;45.0;11;2;0;1;0;16.0;4.0;219.1936;0.06745817396128348;194.9297968899778
2098505;3609366;49.0;45.0;7;1;0;1;0;17.0;4.0;145.7648;0.06630681755814846;182.35390294804807
2098510;3609371;80.0;52.9428;8;1;0;1;0;22.0;4.0;166.8769;0.09739574500724779;178.33743953721128
2098524;3609415;70.0;45.0;8;2;1;2;1;26.0;4.0;169.5097;0.04259520251643405;175.84480307126552
2098545;3609469;59.0;57.0153;4;6;0;4;0;12.0;4.0;178.2059;0.09698949361384776;239.03179680808788
2098575;3609504;65.0;48.8703;8;2;0;5;0;10.0;4.0;280.1266;0.08790097048977143;206.00937715697475
2098581;3609510;39.0;48.8703;3;7;0;5;0;19.0;4.0;212.7213;0.09711627373469409;218.57252415579438
2098594;3609523;52.0;45.0;9;6;0;2;1;21.0;4.0;245.3719;0.04278444271736084;210.3108874098565
2098604;3609545;41.0;45.0;8;1;0;2;5;23.0;4.0;177.6275;0.09690222516220746;213.52250416301797
2098610;3609552;46.0;45.0;7;3;0;2;0;28.0;4.0;223.6015;0.09713038597683829;169.01704438444824
2098615;3609558;78.0;45.0;5;2;0;2;0;21.0;4.0;200.7242;0.10719086188909964;171.56639985932486
2098631;3609590;53.0;45.0;7;0;0;1;0;26.0;4.0;190.9111;0.0063322666937647935;155.0159275940226
2098638;3609602;88.0;57.0153;8;1;0;1;0;10.0;4.0;207.1167;0.09701438850657623;211.26116154974446
2098649;3609621;45.0;46.834;7;6;0;2;0;7.0;4.0;195.9074;0.09720204545616956;238.05145564343982
2098665;3609637;71.0;45.0;2;1;0;2;0;25.0;4.0;161.2822;0.052130985316420596;156.91970305532763
2098678;3609650;66.0;45.0;8;7;0;5;0;13.0;4.0;206.8873;0.06173747736086258;221.38509733333368
2098685;3609671;81.0;46.834;2;0;1;14;0;17.0;4.0;155.2787;0.112708954930715;170.27249043871325
2098690;3609676;37.0;45.0;8;6;0;1;0;16.0;4.0;302.6848;0.07256789901574173;216.63455987477613
2098717;3609708;61.0;45.0;8;1;0;3;3;8.0;4.0;272.2582;0.03390825326840485;225.477191324949
2098727;3609727;53.0;51.3;3;6;0;3;2;17.0;4.0;294.7466;0.00625418579892007;236.61228577561997
2098752;3609764;39.0;50.9065;5;1;0;1;0;17.0;4.0;163.3366;0.11671235963035842;194.12574755228545
2098763;3609791;61.0;45.0;7;3;0;3;0;12.0;4.0;253.6592;0.061660684887439574;201.77358204907816
2098784;3609830;30.0;57.0153;7;0;0;2;5;6.0;4.0;246.8678;0.09224451305516555;269.1979248968433
2098789;3609835;72.0;67.6875;8;1;1;1;0;19.0;4.0;270.2138;0.08758323964209083;217.14765764148086
2098822;3609875;49.0;45.0;5;1;0;1;0;31.0;4.0;183.8903;0.03333346022057723;149.52619982568888
2098873;3609936;87.0;67.6875;9;1;0;1;0;23.0;4.0;214.8056;0.09722465336099245;200.74698441865448
2098905;3609970;62.0;63.1241;8;1;0;3;0;18.0;4.0;223.1128;0.07743706322541778;208.4854945792411
2098937;3610013;49.0;45.0;6;1;0;11;0;10.0;4.0;134.3061;0.11156529748090376;194.60193618246342
2098952;3610028;51.0;45.0;5;7;0;1;0;12.0;4.0;317.9031;0.05887611665315629;227.41148680334146
2098970;3610054;50.0;45.0;8;3;0;4;5;25.0;4.0;202.2201;0.10221486390324198;217.57841673457636
2098982;3610083;37.0;63.1241;4;1;0;2;0;21.0;4.0;182.534;0.04281941994368174;206.19056498472878
2098995;3610101;64.0;45.0;8;1;0;2;5;28.0;4.0;191.9582;0.09685337745404993;196.8823031670347
2099026;3610148;74.0;45.0;7;6;0;1;0;26.0;4.0;149.335;0.042488365085211095;185.07444106076758
2099035;3610162;36.0;45.0;8;2;1;1;1;8.0;4.0;224.9378;0.09710328810897942;224.91499186582547
2099096;3610239;53.0;64.3031;9;2;0;1;0;13.0;4.0;328.7135;0.1274255544722076;231.05943197713088
2099105;3610254;56.0;45.0;8;0;0;1;0;16.0;4.0;163.8951;0.10692754084777381;177.65245552825849
2099117;3610277;38.0;45.0;7;2;0;3;0;14.0;4.0;184.9474;0.09712274949526195;196.7733147672434
2099136;3610304;63.0;45.0;2;1;0;2;0;22.0;4.0;179.0236;0.09711792188292499;165.47761512507435
2099142;3610316;38.0;45.0;7;1;0;3;0;18.0;4.0;154.7102;0.09714808719787076;181.45139660461967
2099183;3610383;77.0;45.0;5;3;0;4;0;20.0;4.0;176.6501;0.1118023709015732;178.75705962093332
2099188;3610388;55.0;45.0;8;1;0;1;0;18.0;4.0;182.2947;0.09712460098949664;179.0802894430543
2099193;3610393;26.0;57.0153;8;1;0;1;0;16.0;4.0;280.1964;0.05765099051950718;211.1904544223912
2099224;3610439;83.0;64.3031;9;3;0;1;0;30.0;4.0;212.6316;0.10717315770562794;191.16714604683023
2099276;3610509;55.0;45.0;8;1;0;2;5;14.0;4.0;167.3755;0.08719615475383202;230.84233228251924
2099285;3610529;34.0;45.0;2;1;1;3;0;31.0;4.0;153.4038;0.09736525431573413;156.146698858386
2099307;3610574;48.0;50.9065;8;1;0;1;0;4.0;4.0;382.4862;0.11753051482641727;223.21607957119895
2099318;3610590;50.0;52.9428;5;1;0;1;0;22.0;4.0;139.2327;0.05657650824842167;183.95766964780375
2099330;3610605;82.0;45.0;5;0;0;1;0;30.0;4.0;128.8311;0.01536042151312851;138.6251729921098
2099335;3610610;57.0;45.0;10;2;1;1;2;17.0;4.0;245.7209;0.09726116093502833;209.14723430069446
2099344;3610619;50.0;48.8703;2;1;0;4;0;4.0;4.0;166.5877;0.08705504668111745;215.99235497056213
2099355;3610650;36.0;67.6875;6;0;0;2;4;10.0;4.0;229.3358;0.08722667808514849;268.9164907226786
